chunk_size,chunk_size2,chunk_size3,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
4,1,2,2,42,0,1,0,"(2, 3, 1, 0, 4)",3.4620025,10,5,0,10
64,32,1,128,64,1,1,1,"(3, 1, 0, 2, 4)",2.7518195,10,5,0,10
1,1,1,32,108,0,1,1,"(3, 1, 2, 0, 4)",1.9138665,10,5,0,10
256,1,8,1,4,2,1,0,"(0, 1, 2, 3, 4)",3.557451,10,5,0,10
1024,64,2,2,18,1,1,1,"(0, 2, 1, 3, 4)",1.887885,10,5,0,10
1024,16,1,256,6,2,1,1,"(1, 3, 2, 0, 4)",2.3212625,10,5,0,10
512,8,1,1,32,0,0,1,"(1, 2, 3, 0, 4)",2.470471,10,5,0,10
16,8,2,4,110,0,0,1,"(2, 1, 3, 0, 4)",4.134292,10,5,0,10
1,4,4,256,92,0,1,0,"(2, 0, 3, 1, 4)",2.3945325,10,5,0,10
16,32,32,16,12,2,1,0,"(0, 2, 1, 3, 4)",5.462952,10,5,0,10
2,2,2,256,46,0,0,1,"(1, 2, 3, 0, 4)",4.2365960000000005,10,5,0,10
8,4,2,256,54,1,1,1,"(2, 0, 1, 3, 4)",3.081638,10,5,0,10
32,8,2,64,70,1,1,1,"(0, 1, 3, 2, 4)",3.3519005,10,5,0,10
256,8,64,16,124,1,1,0,"(0, 2, 3, 1, 4)",6.461407,10,5,0,10
128,4,4,128,122,1,1,0,"(3, 1, 2, 0, 4)",8.1031345,10,5,0,10
1,4,2,128,74,1,1,0,"(2, 3, 0, 1, 4)",14.133013,10,5,0,10
8,4,8,256,38,0,0,1,"(1, 2, 3, 0, 4)",14.081747,10,5,0,10
1024,4,8,256,14,1,1,1,"(3, 0, 2, 1, 4)",17.12167,10,5,0,10
1024,4,8,128,94,0,0,0,"(2, 3, 1, 0, 4)",14.8282365,10,5,0,10
512,2,32,8,106,1,1,0,"(1, 0, 3, 2, 4)",18.0420245,10,5,0,10
16,1,16,2,18,1,0,0,"(3, 0, 2, 1, 4)",27.6263415,10,5,0,10
2,64,64,64,122,0,1,0,"(2, 1, 0, 3, 4)",23.269959,10,5,0,10
16,2,16,32,12,0,1,0,"(1, 2, 3, 0, 4)",28.623774,10,5,0,10
256,32,64,128,126,1,1,1,"(1, 2, 0, 3, 4)",21.8473805,10,5,0,10
2,1,16,1,50,2,1,1,"(3, 2, 0, 1, 4)",28.325742,10,5,0,10
2,4,8,64,68,2,0,1,"(2, 3, 0, 1, 4)",30.602745,10,5,0,10
256,8,16,8,40,1,1,1,"(2, 3, 0, 1, 4)",31.0152345,10,5,0,10
256,32,16,256,92,2,1,0,"(3, 0, 2, 1, 4)",32.070235,10,5,0,10
8,2,16,16,66,2,1,0,"(1, 2, 3, 0, 4)",35.2764105,10,5,0,10
32,8,8,8,124,1,1,1,"(1, 3, 0, 2, 4)",50.6894225,10,5,0,10
2,8,8,2,86,1,0,1,"(3, 1, 2, 0, 4)",86.407014,10,5,0,10
256,1,32,1,76,2,1,1,"(1, 3, 2, 0, 4)",91.16965,10,5,0,10
128,2,64,1,76,2,0,1,"(1, 2, 3, 0, 4)",121.860479,10,5,0,10
4,4,64,8,70,2,1,0,"(3, 2, 0, 1, 4)",153.040014,10,5,0,10
2,1,64,32,112,1,1,1,"(3, 0, 2, 1, 4)",174.492201,10,5,0,10
256,2,64,16,98,1,1,1,"(1, 3, 2, 0, 4)",181.6452285,10,5,0,10
32,2,2,128,70,0,0,1,"(0, 2, 1, 3, 4)",0.958853,10,5,0,10
256,1,8,2,32,0,1,0,"(0, 3, 1, 2, 4)",0.8412459999999999,10,5,0,10
2,16,2,32,34,2,1,1,"(0, 3, 1, 2, 4)",2.287156,10,5,0,10
2,16,4,32,84,2,1,1,"(0, 3, 2, 1, 4)",3.6960405,10,5,0,10
256,16,16,32,128,0,0,0,"(0, 2, 3, 1, 4)",1.7860765,10,5,0,10
8,8,2,16,94,1,1,0,"(1, 3, 2, 0, 4)",4.031103,10,5,0,10
1,8,4,2,70,0,0,1,"(0, 1, 3, 2, 4)",3.734409,10,5,0,10
4,32,16,256,104,2,0,1,"(0, 3, 2, 1, 4)",6.299818999999999,10,5,0,10
256,8,16,2,118,2,0,1,"(1, 0, 3, 2, 4)",5.0692140000000006,10,5,0,10
512,8,2,128,90,2,1,0,"(1, 3, 0, 2, 4)",4.21167,10,5,0,10
4,4,4,16,112,2,0,1,"(1, 3, 0, 2, 4)",8.852409999999999,10,5,0,10
512,1,2,1,118,0,1,1,"(1, 3, 2, 0, 4)",6.294775,10,5,0,10
32,8,2,64,18,0,0,0,"(0, 2, 1, 3, 4)",0.7000949999999999,10,5,0,10
4,1,1,8,50,2,1,0,"(3, 0, 1, 2, 4)",2.74008,10,5,0,10
64,64,8,2,44,0,1,1,"(2, 3, 0, 1, 4)",15.435344,10,5,0,10
256,2,4,256,104,1,1,1,"(2, 1, 0, 3, 4)",18.8957475,10,5,0,10
1,1,1,256,6,0,1,1,"(0, 2, 3, 1, 4)",2.4621295,10,5,0,10
512,4,1,2,98,1,1,0,"(1, 2, 0, 3, 4)",8.7754455,10,5,0,10
512,2,4,16,10,0,0,1,"(3, 0, 2, 1, 4)",7.7998545,10,5,0,10
16,2,16,16,102,1,1,1,"(0, 1, 3, 2, 4)",2.023653,10,5,0,10
128,8,16,64,32,0,0,0,"(2, 3, 0, 1, 4)",29.08234,10,5,0,10
256,4,32,2,104,2,1,1,"(2, 1, 0, 3, 4)",33.591526,10,5,0,10
4,64,16,64,46,0,0,0,"(3, 1, 0, 2, 4)",493.294202,10,5,0,10
128,8,16,2,108,1,1,0,"(3, 0, 1, 2, 4)",49.4547455,10,5,0,10
1,8,8,32,2,1,1,1,"(2, 0, 1, 3, 4)",63.0947805,10,5,0,10
256,1,4,2,126,1,0,1,"(0, 3, 2, 1, 4)",3.70126,10,5,0,10
4,64,32,64,112,2,0,1,"(3, 0, 1, 2, 4)",957.8530735,10,5,0,10
512,2,32,32,74,1,1,1,"(2, 3, 0, 1, 4)",69.0417375,10,5,0,10
16,2,16,32,84,1,1,1,"(1, 3, 2, 0, 4)",46.263472,10,5,0,10
128,8,64,1,108,0,1,1,"(0, 1, 2, 3, 4)",0.9433795,10,5,0,10
8,32,64,8,68,1,0,1,"(0, 3, 2, 1, 4)",4.382778,10,5,0,10
128,8,64,256,12,2,0,1,"(2, 3, 0, 1, 4)",120.360312,10,5,0,10
2,16,8,128,74,1,0,0,"(2, 3, 0, 1, 4)",107.522789,10,5,0,10
256,32,2,1,58,1,0,0,"(1, 2, 0, 3, 4)",27.9747245,10,5,0,10
64,8,64,8,58,1,0,1,"(3, 2, 1, 0, 4)",126.106861,10,5,0,10
512,1,64,4,24,0,1,0,"(2, 3, 1, 0, 4)",99.6463245,10,5,0,10
4,1,64,2,116,2,1,1,"(3, 2, 0, 1, 4)",222.3993515,10,5,0,10
256,4,2,256,60,1,0,1,"(2, 0, 3, 1, 4)",2.8317075000000003,10,5,0,10
256,8,1,1,2,2,1,0,"(3, 2, 0, 1, 4)",2.431161,10,5,0,10
64,32,2,2,72,0,0,1,"(1, 0, 2, 3, 4)",0.974313,10,5,0,10
