chunk_size_i,chunk_size_fpos,chunk_size_k,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
64,2,2,4,114,0,0,0,"(4, 0, 3, 2, 1)",4.816299,10,5,0,10
128,16,4,32,76,0,0,0,"(0, 4, 3, 2, 1)",5.1834395,10,5,0,10
256,16,4,2,28,2,0,0,"(1, 0, 2, 3, 4)",0.5567610000000001,10,5,0,10
128,32,4,2,118,2,1,0,"(1, 0, 2, 4, 3)",2.16043,10,5,0,10
128,2,16,1,128,0,1,0,"(0, 4, 3, 2, 1)",12.995609,10,5,0,10
256,2,16,32,122,1,0,1,"(4, 0, 2, 3, 1)",1.2449979999999998,10,5,0,10
128,2,4,8,38,2,0,1,"(1, 0, 2, 3, 4)",4.47424,10,5,0,10
256,256,16,2,18,1,0,0,"(0, 4, 2, 3, 1)",25.922611,10,5,0,10
256,4,256,1,124,1,1,0,"(1, 0, 2, 3, 4)",14.7095865,10,5,0,10
4,16,32,32,34,1,0,1,"(1, 0, 4, 3, 2)",14.219398,10,5,0,10
128,256,8,4,14,0,0,1,"(4, 0, 3, 2, 1)",13.3553535,10,5,0,10
128,2,64,16,108,0,0,0,"(4, 0, 2, 3, 1)",13.009875,10,5,0,10
64,128,4,2,8,2,0,0,"(0, 1, 2, 3, 4)",4.310596,10,5,0,10
256,256,16,4,14,1,1,1,"(1, 0, 2, 3, 4)",18.265437,10,5,0,10
256,32,64,2,50,0,1,1,"(0, 1, 4, 3, 2)",26.4745895,10,5,0,10
64,16,32,32,80,0,0,1,"(0, 1, 2, 4, 3)",3.056629,10,5,0,10
256,8,4,4,12,2,1,1,"(0, 1, 4, 3, 2)",20.1089365,10,5,0,10
256,128,2,2,94,0,1,1,"(0, 1, 4, 3, 2)",36.7151815,10,5,0,10
32,4,2,32,66,1,0,1,"(4, 0, 2, 3, 1)",11.424327,10,5,0,10
32,4,16,1,74,2,1,0,"(4, 0, 3, 2, 1)",11.4028785,10,5,0,10
64,32,64,8,56,0,1,1,"(1, 0, 4, 3, 2)",1.17466,10,5,0,10
128,2,16,1,52,0,0,0,"(0, 1, 2, 4, 3)",12.2888635,10,5,0,10
128,32,32,16,110,0,1,1,"(1, 0, 2, 3, 4)",52.1589745,10,5,0,10
256,64,32,8,120,1,1,1,"(1, 0, 2, 3, 4)",26.446478,10,5,0,10
128,8,32,4,110,0,1,1,"(1, 0, 4, 3, 2)",50.2958395,10,5,0,10
128,32,256,2,86,0,0,0,"(1, 0, 4, 3, 2)",52.6953655,10,5,0,10
32,128,2,32,58,2,0,0,"(1, 0, 2, 3, 4)",11.1632035,10,5,0,10
128,32,64,1,70,1,0,1,"(0, 1, 2, 4, 3)",52.724431,10,5,0,10
16,8,16,2,40,1,0,1,"(0, 4, 3, 2, 1)",102.100261,10,5,0,10
16,16,128,2,54,2,1,0,"(4, 0, 3, 2, 1)",102.1411595,10,5,0,10
64,256,32,4,36,0,1,1,"(4, 0, 2, 3, 1)",103.893233,10,5,0,10
32,256,16,2,26,0,0,0,"(0, 1, 2, 3, 4)",143.837005,10,5,0,10
16,32,128,4,120,1,0,1,"(1, 0, 4, 3, 2)",14.762061,10,5,0,10
32,256,32,4,124,2,1,1,"(4, 0, 2, 3, 1)",52.318025500000005,10,5,0,10
8,64,4,4,42,0,0,0,"(0, 1, 4, 3, 2)",7.62906,10,5,0,10
64,64,4,2,26,1,0,1,"(0, 4, 3, 2, 1)",12.0385455,10,5,0,10
16,8,16,2,108,2,1,1,"(1, 0, 2, 3, 4)",12.1052775,10,5,0,10
128,256,256,8,80,2,1,1,"(0, 4, 3, 2, 1)",52.679128,10,5,0,10
32,128,64,8,88,1,1,0,"(1, 0, 2, 3, 4)",209.8056905,10,5,0,10
16,4,4,32,20,0,0,0,"(0, 1, 2, 3, 4)",274.2596515,10,5,0,10
16,16,32,8,116,2,1,1,"(0, 1, 4, 3, 2)",5.598455,10,5,0,10
16,4,2,1,48,2,0,0,"(0, 1, 4, 3, 2)",332.21008500000005,10,5,0,10
128,16,256,32,86,2,0,1,"(0, 4, 3, 2, 1)",13.041171,10,5,0,10
256,128,4,8,66,0,0,0,"(0, 1, 4, 3, 2)",21.212315,10,5,0,10
128,8,8,1,16,1,0,1,"(0, 1, 2, 4, 3)",36.246141,10,5,0,10
32,4,64,2,56,0,0,0,"(4, 0, 3, 2, 1)",11.515377,10,5,0,10
8,64,8,2,106,1,0,0,"(1, 0, 2, 3, 4)",3.8920635,10,5,0,10
16,256,2,2,64,1,0,1,"(1, 0, 4, 3, 2)",1.6075055,10,5,0,10
64,2,32,1,124,2,1,0,"(1, 0, 4, 2, 3)",6.991873,10,5,0,10
4,32,32,1,124,2,0,0,"(0, 4, 2, 3, 1)",405.522569,10,5,0,10
4,2,8,8,96,1,1,1,"(0, 4, 3, 2, 1)",405.3108385000001,10,5,0,10
4,32,64,32,88,2,0,1,"(0, 4, 2, 3, 1)",406.2904785,10,5,0,10
256,128,128,2,48,2,0,1,"(1, 0, 4, 3, 2)",0.2915,10,5,0,10
256,128,2,32,94,0,0,1,"(1, 0, 4, 2, 3)",1.5439785,10,5,0,10
8,256,8,32,10,2,1,0,"(0, 1, 2, 4, 3)",464.0340615,10,5,0,10
64,64,256,32,60,2,0,0,"(1, 0, 2, 4, 3)",13.52327,10,5,0,10
16,32,128,1,26,0,1,0,"(0, 1, 4, 2, 3)",117.314308,10,5,0,10
256,256,32,16,84,1,0,0,"(0, 1, 2, 4, 3)",2.2953900000000003,10,5,0,10
128,16,64,1,82,2,0,0,"(4, 0, 3, 2, 1)",4.922005,10,5,0,10
32,2,2,1,90,2,0,1,"(4, 0, 2, 3, 1)",51.8839225,10,5,0,10
64,8,32,32,46,0,1,0,"(0, 4, 2, 3, 1)",25.974235,10,5,0,10
32,2,32,8,64,1,0,1,"(0, 4, 2, 3, 1)",9.925975,10,5,0,10
128,64,128,1,50,2,0,1,"(4, 0, 2, 3, 1)",6.3418410000000005,10,5,0,10
32,2,256,1,126,0,0,1,"(4, 0, 2, 3, 1)",9.7228435,10,5,0,10
32,32,32,32,50,2,1,0,"(0, 4, 3, 2, 1)",19.100372,10,5,0,10
64,32,256,4,38,1,1,0,"(0, 4, 3, 2, 1)",25.9990495,10,5,0,10
256,8,16,2,32,2,1,0,"(1, 0, 4, 3, 2)",26.361517,10,5,0,10
256,64,32,2,38,0,0,0,"(1, 0, 2, 4, 3)",1.4074505,10,5,0,10
64,8,32,2,38,1,0,1,"(4, 0, 3, 2, 1)",9.6637425,10,5,0,10
128,8,32,32,52,2,1,0,"(1, 0, 4, 2, 3)",3.2269545,10,5,0,10
2,8,64,2,28,0,1,0,"(0, 4, 2, 3, 1)",282.6042855,10,5,0,10
16,2,4,32,8,1,0,0,"(4, 0, 3, 2, 1)",102.091879,10,5,0,10
128,8,16,2,106,1,1,1,"(4, 0, 2, 3, 1)",13.024066,10,5,0,10
16,64,4,4,86,1,0,0,"(0, 4, 2, 3, 1)",102.1924575,10,5,0,10
32,64,32,1,96,2,0,0,"(1, 0, 4, 3, 2)",9.172361,10,5,0,10
128,2,256,32,42,0,1,0,"(0, 1, 2, 3, 4)",4.8066325,10,5,0,10
16,128,8,8,114,2,0,1,"(4, 0, 2, 3, 1)",102.1351145,10,5,0,10
16,2,128,16,18,1,0,0,"(1, 0, 2, 4, 3)",576.46105,10,5,0,10
256,4,256,16,90,1,1,1,"(0, 1, 4, 2, 3)",97.634101,10,5,0,10
32,64,256,8,16,0,0,0,"(0, 1, 4, 2, 3)",161.92678999999998,10,5,0,10
32,2,8,32,48,1,0,0,"(4, 0, 2, 3, 1)",51.978175500000006,10,5,0,10
32,64,8,32,94,2,0,0,"(1, 0, 2, 3, 4)",158.2156,10,5,0,10
8,32,256,32,106,2,1,0,"(1, 0, 2, 4, 3)",995.3288695,10,5,0,10
32,32,256,2,112,0,0,0,"(1, 0, 4, 3, 2)",198.8970585,10,5,0,10
2,4,4,1,32,0,0,1,"(4, 0, 3, 2, 1)",178.845374,10,5,0,10
4,256,2,32,100,0,0,1,"(0, 1, 2, 3, 4)",1001.5153765,10,5,0,10
256,16,256,1,86,2,1,1,"(1, 0, 2, 3, 4)",32.019293000000005,10,5,0,10
16,8,256,2,24,0,0,1,"(4, 0, 2, 3, 1)",36.532694,10,5,0,10
16,128,8,4,110,0,0,1,"(1, 0, 2, 3, 4)",320.254507,10,5,0,10
8,8,256,1,106,1,1,0,"(0, 4, 3, 2, 1)",202.6471605,10,5,0,10
4,128,8,1,78,0,1,0,"(0, 1, 2, 4, 3)",1108.9091075,10,5,0,10
8,64,256,4,30,1,1,1,"(1, 0, 4, 3, 2)",8.200731000000001,10,5,0,10
2,32,16,4,44,0,0,1,"(0, 1, 4, 3, 2)",49.7285905,10,5,0,10
16,64,8,2,8,1,0,0,"(1, 0, 2, 3, 4)",15.531002,10,5,0,10
8,128,16,16,30,0,0,0,"(0, 1, 2, 4, 3)",26.73087,10,5,0,10
8,2,2,4,90,0,0,1,"(0, 4, 3, 2, 1)",37.116528,10,5,0,10
2,8,64,2,106,0,1,0,"(1, 0, 4, 2, 3)",10455.631992,10,5,0,10
2,2,2,2,12,0,1,1,"(4, 0, 2, 3, 1)",810.090833,10,5,0,10
16,256,64,8,92,2,0,0,"(1, 0, 2, 4, 3)",24.952401,10,5,0,10
8,4,256,2,6,0,0,1,"(0, 4, 3, 2, 1)",44.918324,10,5,0,10
4,128,32,1,2,1,0,1,"(4, 0, 2, 3, 1)",406.437788,10,5,0,10
256,16,256,16,108,2,0,1,"(0, 4, 2, 3, 1)",2.6538185,10,5,0,10
256,64,256,8,116,1,1,0,"(0, 1, 4, 3, 2)",1.764297,10,5,0,10
32,256,256,4,88,1,1,0,"(1, 0, 4, 3, 2)",162.647274,10,5,0,10
16,2,256,2,32,0,1,1,"(0, 4, 3, 2, 1)",102.154418,10,5,0,10
2,4,32,2,86,1,1,0,"(0, 1, 4, 2, 3)",10024.447808,10,5,0,10
32,2,128,8,82,1,1,1,"(1, 0, 2, 4, 3)",23.954156,10,5,0,10
16,8,32,4,68,1,0,0,"(0, 1, 4, 3, 2)",13.9527905,10,5,0,10
16,128,64,32,90,0,1,1,"(1, 0, 2, 4, 3)",35.284194,10,5,0,10
32,32,256,2,54,1,1,0,"(0, 4, 2, 3, 1)",20.978315,10,5,0,10
4,8,32,4,114,2,1,1,"(1, 0, 2, 3, 4)",1510.282953,10,5,0,10
4,8,128,1,50,2,1,1,"(0, 1, 2, 3, 4)",88.1628055,10,5,0,10
128,64,32,1,124,0,1,1,"(1, 0, 4, 2, 3)",7.350417999999999,10,5,0,10
8,2,128,16,98,0,0,0,"(4, 0, 3, 2, 1)",37.8282025,10,5,0,10
256,2,64,16,2,2,0,1,"(4, 0, 3, 2, 1)",6.551071,10,5,0,10
64,128,128,4,116,2,1,0,"(0, 4, 3, 2, 1)",26.073506,10,5,0,10
64,16,8,32,2,2,0,1,"(1, 0, 2, 3, 4)",70.77017599999999,10,5,0,10
