chunk_size,unroll_factor,omp_chunk_size,omp_num_threads,omp_scheduling_type,omp_monotonic,omp_dynamic,permutation,compute_time,iterations,repeats,wait_between_repeats,wait_after_run
128,8,1,10,2,1,1,"(1, 3, 2, 4, 0)",944.02653,10,5,0,10
1024,16,16,8,0,1,1,"(1, 3, 4, 0, 2)",1485.8036585,10,5,0,10
512,1,64,17,2,0,0,"(2, 1, 0, 4, 3)",1489.772848,10,5,0,10
256,8,8,17,2,1,1,"(4, 1, 2, 0, 3)",1495.7660875,10,5,0,10
64,2,16,8,1,1,1,"(3, 4, 2, 0, 1)",1494.8124855,10,5,0,10
128,16,256,13,0,1,0,"(2, 0, 4, 3, 1)",1491.8653814999998,10,5,0,10
256,4,16,6,0,1,0,"(0, 3, 4, 1, 2)",1493.2070185,10,5,0,10
128,64,256,13,2,1,1,"(3, 0, 1, 4, 2)",1490.2441315,10,5,0,10
512,16,1,6,2,0,1,"(1, 2, 3, 4, 0)",1492.0565905,10,5,0,10
16,1,64,6,2,0,1,"(4, 3, 1, 0, 2)",1492.7944619999998,10,5,0,10
1024,4,16,5,1,0,0,"(0, 2, 1, 4, 3)",1487.3314335,10,5,0,10
32,4,64,3,0,0,1,"(0, 3, 2, 1, 4)",1489.145219,10,5,0,10
512,2,128,10,0,0,0,"(1, 0, 2, 3, 4)",1497.310257,10,5,0,10
256,2,1,3,0,0,0,"(2, 1, 3, 4, 0)",1492.5118375,10,5,0,10
512,16,32,18,0,1,0,"(3, 4, 0, 1, 2)",1500.5951805,10,5,0,10
128,1,64,15,2,0,1,"(3, 1, 4, 0, 2)",1492.811631,10,5,0,10
8,1,256,3,0,0,0,"(3, 4, 2, 1, 0)",1494.2781435,10,5,0,10
16,2,1,20,1,1,1,"(0, 2, 3, 1, 4)",166.71007400000002,10,5,0,10
1024,64,64,5,1,0,1,"(2, 1, 4, 0, 3)",1479.2807705,10,5,0,10
2,1,128,7,2,1,1,"(3, 2, 1, 4, 0)",1435.1217785,10,5,0,10
1024,16,4,12,1,0,1,"(3, 4, 1, 2, 0)",1434.4460445,10,5,0,10
64,1,64,17,0,0,0,"(0, 3, 2, 4, 1)",1433.419859,10,5,0,10
64,16,256,6,1,1,0,"(2, 3, 0, 4, 1)",1433.9200365000002,10,5,0,10
1024,64,256,9,0,0,1,"(1, 3, 4, 0, 2)",1435.3512420000002,10,5,0,10
1024,256,8,17,1,1,1,"(2, 0, 1, 4, 3)",1432.722042,10,5,0,10
256,64,16,13,1,0,1,"(1, 4, 0, 2, 3)",1442.4738739999998,10,5,0,10
1024,8,256,10,2,1,1,"(3, 4, 1, 2, 0)",1435.5561875,10,5,0,10
4,2,128,12,0,0,1,"(3, 0, 1, 4, 2)",1449.668743,10,5,0,10
256,64,1,4,0,0,1,"(2, 4, 3, 1, 0)",1435.721257,10,5,0,10
512,4,2,19,0,1,0,"(4, 0, 2, 3, 1)",1472.1779634999998,10,5,0,10
512,8,256,2,2,0,1,"(3, 1, 4, 2, 0)",1473.3098345,10,5,0,10
1024,1,256,5,2,0,1,"(0, 1, 4, 2, 3)",1480.9205535,10,5,0,10
32,16,64,4,1,1,1,"(3, 0, 2, 1, 4)",1472.810818,10,5,0,10
1024,32,128,19,0,1,1,"(3, 0, 4, 1, 2)",1476.197406,10,5,0,10
64,4,16,13,0,1,1,"(1, 0, 4, 3, 2)",1436.1638535,10,5,0,10
32,1,1,2,2,0,1,"(4, 1, 2, 3, 0)",804.949153,10,5,0,10
1024,32,128,6,2,1,1,"(4, 1, 0, 2, 3)",1434.8411235,10,5,0,10
32,1,16,17,0,1,0,"(4, 1, 3, 2, 0)",1435.7382,10,5,0,10
256,2,1,8,1,1,1,"(2, 0, 1, 4, 3)",1434.6453295,10,5,0,10
128,8,2,8,0,0,0,"(1, 0, 2, 3, 4)",1434.6356815,10,5,0,10
8,2,32,16,2,1,1,"(2, 1, 3, 4, 0)",1433.400121,10,5,0,10
16,8,64,14,2,1,0,"(0, 4, 3, 1, 2)",1435.849087,10,5,0,10
64,1,256,15,1,0,0,"(0, 4, 3, 2, 1)",1434.2494625,10,5,0,10
512,128,256,8,1,0,1,"(4, 3, 2, 1, 0)",1433.081991,10,5,0,10
256,8,16,17,0,0,1,"(0, 1, 4, 3, 2)",1477.538255,10,5,0,10
32,4,8,4,1,0,1,"(3, 0, 4, 2, 1)",1436.2933010000002,10,5,0,10
8,2,128,6,2,0,1,"(3, 1, 2, 4, 0)",1452.4126385,10,5,0,10
64,16,256,11,2,1,1,"(4, 0, 3, 2, 1)",1448.147368,10,5,0,10
64,16,256,12,2,1,0,"(0, 3, 1, 2, 4)",1436.68852,10,5,0,10
128,8,64,19,0,0,0,"(4, 1, 0, 3, 2)",1477.7383365,10,5,0,10
16,8,128,18,1,0,1,"(3, 4, 2, 0, 1)",1435.9387845,10,5,0,10
64,4,64,19,2,1,1,"(3, 0, 2, 4, 1)",1435.4318135,10,5,0,10
4,2,2,11,0,1,1,"(0, 3, 2, 4, 1)",177.531536,10,5,0,10
64,16,1,4,0,1,0,"(0, 3, 2, 4, 1)",528.9985895,10,5,0,10
